94,83,359
26,97,251
69,3,149
63,79,289
99,28,259
72,33,215
52,24,157
88,83,347
59,33,189
45,89,273
76,87,331
23,96,243
45,14,123
33,63,197
93,51,293
76,80,317
28,24,109
85,84,343
27,68,195
3,74,159
17,12,63
90,15,215
59,10,143
73,57,265
12,24,77
76,88,333
70,9,163
41,97,281
45,100,295
37,50,179
83,14,199
94,51,295
38,46,173
80,43,251
82,45,259
89,13,209
65,68,271
45,66,227
77,18,195
35,37,149
19,83,209
84,44,261
93,49,289
1,76,159
6,87,191
4,67,147
21,100,247
81,7,181
80,62,289
42,54,197
50,2,109
80,30,225
89,35,253
55,94,303
58,82,285
60,50,225
2,52,113
44,89,271
84,19,211
73,17,185
77,80,319
20,69,183
60,2,129
73,96,343
35,52,179
37,36,151
55,56,227
2,86,181
73,82,315
74,38,229
54,26,165
77,17,193
87,75,329
40,90,265
67,79,297
81,12,191
14,75,183
9,34,91
89,47,277
42,92,273
62,71,271
14,51,135
70,33,211
45,14,123
71,34,215
24,23,99
48,96,293
24,28,109
1,81,169
63,34,199
76,85,327
95,54,303
40,45,175
61,90,307
21,31,109
61,70,267
22,73,195
48,58,217
33,91,253
16,67,171
75,75,305
93,57,305
33,76,223
94,57,307
32,35,139
23,23,97
49,24,151
10,34,93
6,56,129
12,40,109
50,96,297
54,71,255
58,39,199
53,38,187
45,76,247
44,64,221
20,16,77
91,49,285
23,25,101
95,21,237
20,55,155
99,81,365
57,33,185
87,82,343
17,7,53
43,99,289
45,53,201
55,93,301
59,13,149
44,42,177
75,74,303
52,36,181
64,8,149
62,46,221
10,92,209
94,36,265
31,26,119
87,40,259
82,53,275
37,75,229
89,31,245
60,4,133
16,32,101
87,6,191
80,60,285
85,1,177
89,37,257
95,38,271
61,35,197
47,100,299
60,10,145
4,24,61
21,58,163
64,33,199
44,80,253
100,16,237
86,78,333
94,9,211
28,20,101
54,94,301
16,42,121
28,99,259
38,87,255
89,36,255
65,48,231
99,57,317
7,81,181
45,93,281
88,27,235
50,27,159
10,97,219
39,63,209
33,88,247
71,56,259
81,78,323
89,30,243
93,10,211
43,44,179
79,31,225
97,58,315
8,38,97
93,10,211
69,26,195
54,86,285
86,16,209
66,76,289
1,57,121
37,94,267
20,26,97
21,94,235
38,44,169
36,37,151
70,59,263
79,47,257
50,82,269
11,58,143
90,33,251
36,63,203
27,82,223
1,67,141
73,58,267
39,4,91
82,56,281
34,21,115
39,56,195
22,37,123
100,29,263
84,99,371
8,87,195
20,40,125
27,55,169
50,67,239
72,90,329
10,31,87
65,75,285
18,87,215
91,32,251
32,71,211
18,34,109
78,37,235
14,71,175
8,77,175
39,42,167
86,48,273
5,5,25
24,52,157
44,61,215
23,56,163
19,22,87
83,68,307
5,43,101
44,29,151
63,88,307
16,90,217
31,79,225
40,43,171
27,52,163
90,62,309
52,77,263
88,60,301
15,94,223
98,4,209
5,95,205
76,67,291
47,100,299
16,9,55
25,97,249
87,80,339
13,28,87
63,55,241
35,42,159
34,32,137
56,78,273
42,98,285
15,38,111
97,23,245
61,85,297
55,72,259
38,21,123
74,52,257
17,95,229
89,58,299
66,63,263
71,34,215
11,41,109
38,3,87
17,4,47
35,65,205
96,8,213
63,33,197
98,97,395
23,19,89
55,67,249
74,8,169
52,84,277
20,92,229
97,89,377
50,49,203
69,12,167
27,11,81
22,85,219
24,38,129
72,94,337
43,58,207
98,84,369
4,16,45
62,44,217
33,57,185
24,30,113
86,66,309
91,10,207
50,15,135
50,22,149
70,6,157
93,87,365
34,52,177
71,28,203
32,84,237
50,23,151
22,68,185
79,61,285
64,29,191
57,46,211
85,40,255
73,22,195
41,86,259
44,49,191
26,63,183
74,99,351
1,38,83
43,16,123
70,4,153
75,1,157
72,41,231
16,11,59
23,42,135
100,88,381
25,12,79
20,80,205
54,18,149
20,87,219
2,24,57
15,1,37
30,37,139
74,36,225
43,68,227
64,92,317
6,71,159
79,55,273
92,55,299
21,87,221
6,2,21
21,92,231
16,79,195
55,70,255
57,71,261
28,32,125
23,45,141
38,1,83
16,81,199
81,70,307
35,40,155
81,85,337
25,82,219
33,82,235
92,91,371
29,12,87
69,63,269
76,16,189
26,66,189
45,18,131
65,47,229
52,35,179
29,7,77
99,8,219
71,58,263
63,97,325
79,33,229
17,86,211
45,25,145
48,26,153
90,50,285
76,76,309
2,71,151
44,68,229
39,26,135
56,38,193
88,35,251
6,65,147
22,69,187
4,51,115
4,90,193
23,43,137
95,12,219
66,63,263
40,69,223
95,63,321
71,4,155
73,11,173
63,46,223
32,77,223
51,23,153
4,99,211
27,89,237
32,55,179
30,91,247
41,29,145
33,12,95
88,97,375
76,87,331
18,60,161
9,20,63
100,62,329
91,21,229
44,66,225
34,99,271
51,1,109
57,82,283
73,90,331
88,59,299
48,54,209
38,72,225
78,44,249
37,79,237
57,7,133
87,35,249
2,26,61
38,53,187
86,30,237
82,56,281
81,91,349
81,46,259
14,77,187
3,32,75
51,90,287
58,18,157
6,18,53
30,44,153
61,28,183
84,80,333
87,27,233
14,92,217
49,17,137
95,86,367
16,21,79
79,82,327
73,49,249
23,70,191
93,90,371
73,91,333
21,97,241
36,61,199
88,79,339
43,4,99
17,51,141
96,73,343
93,94,379
27,77,213
61,33,193
90,69,323
75,42,239
70,7,159
92,44,277
48,81,263
16,78,193
97,9,217
38,18,117
53,78,267
60,62,249
11,70,167
63,90,311
70,70,285
45,100,295
46,18,133
14,24,81
21,96,239
68,32,205
82,77,323
78,92,345
25,61,177
29,39,141
14,81,195
57,72,263
31,57,181
51,79,265
96,38,273
32,93,255
68,95,331
90,63,311
43,84,259
68,34,209
8,21,63
82,40,249
75,38,231
3,73,157
2,22,53
21,65,177
44,36,165
1,59,125
32,33,135
31,87,241
3,9,29
30,20,105
11,15,57
82,7,183
50,30,165
88,28,237
68,37,215
29,17,97
22,9,67
6,90,197
2,86,181
92,88,365
87,73,325
99,66,335
43,49,189
98,4,209
24,56,165
89,56,295
30,44,153
9,63,149
18,95,231
46,66,229
81,24,215
11,37,101
61,66,259
